6045504229661220736 245.99162               -26.34434           18.438   
6045504981264184192 246.03035               -26.28057           18.769   
6045508902585952640 245.88761               -26.24297           19.072   
6045507180287440000 245.85343               -26.28453           18.495   
6045503473747038464 245.87124               -26.34628           17.163   
6045504229661219200 245.99971               -26.34076           17.441   
6045507459476748288 245.78997               -26.31094           18.499   
6045504160935345408 246.00232               -26.35289           18.593   
6045508077952053760 245.82044               -26.26234           17.033   
6045504229661219712 245.99428               -26.34374           17.094   
6045507180287445120 245.85697               -26.28262           17.843   
6045507459476750080 245.78534               -26.31071           17.916   
6045507390757272576 245.86807               -26.26088           18.526   
6045504332740433024 246.03669               -26.31851           16.277   
6045515735862542592 246.06543               -26.13077           19.174   
6045503503795301248 245.88659               -26.33579           18.859   
6045504229661218432 245.99290               -26.34551           18.231   
6045506875361194496 245.83714               -26.28374           16.665   
6045504195301479936 246.01624               -26.33104           16.382   
6045503886063901056 245.89766               -26.32650           17.192   
6045509349262357376 245.98553               -26.19067           18.520   
6045506493092539392 245.85205               -26.33659           18.285   
6045508520317392000 245.82471               -26.20286           18.301   
6045508112311798528 245.83074               -26.24544           17.437   
6045503886063901184 245.89114               -26.32997           18.972   
6045515980691882240 246.03220               -26.12345           18.696   
6045507111567968000 245.88450               -26.28219           17.952   
6045515980691882368 246.03054               -26.12447           17.135   
6045503641234242560 245.93568               -26.33885           18.325   
6045504023502855168 245.92231               -26.31043           19.843   
6045503782978380544 245.94558               -26.31381           19.843   
6045507768714415744 245.77809               -26.27693           17.948   
6045512235480368256 246.02226               -26.18827           16.434   
6045503336301788928 245.84848               -26.37217           18.983   
6045515735862547200 246.06354               -26.12756           18.329   
6045509795938976640 245.89784               -26.20610           17.927   
6045504710697559040 246.05173               -26.30577           17.381   
6045507699994936448 245.79923               -26.26701           14.704   
6045509658500023808 245.86640               -26.22478           16.601   
6045505393581052928 245.98106               -26.28030           18.186   
6045503473747036160 245.87655               -26.34670           17.487   
6045507596915705856 245.81355               -26.28845           17.486   
6045505810209245440 245.99939               -26.27007           16.193   
6045504122271697024 245.91689               -26.27815           18.672   
6045505844568984960 246.01151               -26.26101           16.746   
6045504401459920640 246.03789               -26.30722           17.892   
6045507734354681600 245.76258               -26.27942           15.022   
6045515602734765312 246.01517               -26.12705           15.858   
6045515770222288768 246.03737               -26.12543           18.402   
6045509521061249280 245.95985               -26.17740           16.945   
6045504882496255616 246.08607               -26.27892           19.481   
6045503572514785280 245.87530               -26.33372           19.310   
6045503439381044608 245.85125               -26.34693           19.412   
6045505432252119424 245.99076               -26.28016           16.024   
6045506493092548480 245.84937               -26.33334           18.964   
6045508966993955968 245.91647               -26.22073           17.885   
6045506115135646848 245.99017               -26.23363           17.844   
6045507111567976192 245.88013               -26.27839           19.127   
6045508417238142208 245.83347               -26.22226           18.196   
6045503301942051328 245.88731               -26.34785           19.889   
6045504779417045888 246.04041               -26.30189           16.671   
6045505049983680000 246.01563               -26.27315           19.235   
6045508284110495744 245.80575               -26.25242           17.348   
6045503851704149888 245.94276               -26.31550           17.906   
6045504779417044736 246.04006               -26.30320           16.695   
6045506630531505664 245.80907               -26.33281           19.363   
6045506561812068608 245.84703               -26.32133           18.832   
6045503572514789632 245.86857               -26.33397           17.494   
6045510208255850496 245.91783               -26.17379           17.511   
6045505015623938048 246.02977               -26.27512           17.078   
6045508421549455744 245.83324               -26.22577           17.054   
6045509864658467840 245.88597               -26.19207           17.909   
6045504367100190464 246.01730               -26.31000           17.336   
6045516152490761344 246.06749               -26.08862           18.064   
6045507249006932992 245.84713               -26.27750           18.781   
6045512918364011776 246.09711               -26.11896           18.402   
6045514292753572096 246.16314               -26.09501           19.164   
6045509727219514880 245.86179               -26.20667           18.201   
6045505462300544384 245.96807               -26.27257           18.337   
6045504946904469248 246.07781               -26.26959           19.415   
6045503508100492416 245.88625               -26.34438           19.423   
6045506183855149440 245.98114               -26.21824           18.739   
6045507906153379712 245.78858               -26.25481           16.398   
6045503336308069888 245.85402               -26.37603           17.820   
6045505363526390656 245.95487               -26.28608           18.822   
6045512506054479360 246.09370               -26.16023           18.901   
6045507661323803264 245.80322               -26.27455           18.980   
6045503881752436992 245.89876               -26.33038           19.161   
6045504470179407872 245.99152               -26.32391           15.156   
6045506390019967104 245.84402               -26.34509           18.767   
6045504573258623872 246.00906               -26.31199           18.035   
6045507940513121152 245.77433               -26.25914           16.503   
6045503572514799488 245.86512               -26.32846           19.090   
6045504023496595584 245.92047               -26.30607           19.720   
6045504401459930368 246.01779               -26.30842           19.355   
6045506561812075392 245.84293               -26.31449           17.941   
6045517733038733696 246.07784               -26.05654           18.279   
6045518214075070464 246.12700               -26.02672           17.227   
6045503748619219200 245.94198               -26.32683           18.987   
6045508451597893120 245.85080               -26.21397           17.763   
6045503332001700992 245.84685               -26.37302           17.582   
6045504573258628352 246.00846               -26.30753           17.710   
6045503332001701248 245.84983               -26.37235           17.401   
6045503400721177344 245.83985               -26.36833           19.042   
6045506493097630976 245.84828               -26.32497           18.990   
6045507214647208832 245.86663               -26.27221           18.769   
6045503336301801856 245.84656               -26.36837           16.691   
6045505496660304000 245.98542               -26.26050           18.811   
6045503881752441216 245.89778               -26.32899           18.396   
6045509899018211712 245.89317               -26.17679           17.481   
6045507867482237312 245.78730               -26.27283           18.607   
6045509379310827008 245.93959               -26.21309           18.876   
6045507974872864640 245.77852               -26.24360           17.628   
6045510448774026624 245.94114               -26.14382           19.514   
6045510517493508096 245.90321               -26.15673           16.265   
6045504156635426048 246.01214               -26.34794           18.898   
6045508004921189888 245.82952               -26.27219           18.834   
6045503611185958656 245.91982               -26.35634           17.251   
6045506493092560896 245.86121               -26.32836           19.306   
6045505496660294784 245.98258               -26.26562           17.670   
6045517045843972992 246.03238               -26.06152           17.430   
6045503886063900672 245.89876               -26.32665           17.352   
6045504607618369280 246.01513               -26.29988           18.044   
6045503817338149504 245.92192               -26.31633           19.492   
6045509001353713792 245.92525               -26.20854           17.563   
6045503645545703552 245.93228               -26.34136           16.378   
6045509379310836864 245.93850               -26.20656           19.178   
6045504985575496960 246.03233               -26.28199           17.477   
6045503645545700864 245.92829               -26.34664           17.486   
6045504328429052800 246.04367               -26.32035           19.319   
6045504500227744896 245.97759               -26.32177           19.448   
6045509379310834944 245.93956               -26.20858           18.761   
6045507867482243072 245.78688               -26.26928           18.459   
6045503611185959936 245.92767               -26.34914           17.707   
6045504160941725824 246.00486               -26.35405           16.072   
6045505634099251712 245.93938               -26.26474           19.097   
6045506875355005312 245.82950               -26.28637           19.389   
6045509276231625728 245.99483               -26.20352           17.415   
6045506737916053376 245.80794               -26.29836           18.498   
6045503645545704960 245.93286               -26.33919           17.352   
6045507317726431104 245.87894               -26.26681           16.413   
6045503748624919552 245.94006               -26.33524           18.927   
6045508073640694912 245.82655               -26.25679           17.786   
6045505771543137152 245.96292               -26.25507           18.162   
6045510100874502912 245.89079               -26.17321           19.594   
6045503405021298304 245.83856               -26.36204           19.726   
6045504190988425856 246.01335               -26.34007           12.967   
6045503611185965312 245.92420               -26.34629           18.596   
6045503950471928064 245.88516               -26.32611           17.973   
6045507145925922816 245.89681               -26.27350           12.853   
6045503675599086080 245.90687               -26.34657           19.138   
6045505324866529024 245.95308               -26.30521           17.129   
6045504092216086144 245.91064               -26.30195           19.537   
6045503405021289472 245.84516               -26.36401           18.373   
6045503851697895424 245.93315               -26.30416           19.814   
6045514395832776064 246.10448               -26.10637           19.096   
6045503645545702016 245.92958               -26.34478           16.026   
6045504504539160576 245.96938               -26.32065           16.967   
6045504641978114816 245.99818               -26.30120           16.298   
