u-g,g-r,r-i,i-z,class
1.2246670000000002,0.5027749999999997,0.21050100000000072,0.13658500000000018,star
0.7931670000000004,0.2713619999999999,0.10948199999999986,0.05001999999999995,star
2.219035999999999,0.9358050000000002,0.34915399999999863,0.20390500000000067,star
1.2540729999999982,0.46134000000000164,0.14383999999999908,0.03778499999999951,star
1.9014720000000018,0.8294919999999983,0.2202149999999996,0.14804900000000032,star
0.272000000000002,0.16999999999999815,0.045000000000001705,0.19699999999999918,qso
0.47800000000000153,0.22199999999999775,-0.08899999999999864,0.26500000000000057,qso
1.593278999999999,0.6248690000000003,0.2120849999999983,0.0945670000000014,star
2.662203999999999,1.3242770000000004,0.5405149999999992,0.3260760000000005,star
0.929433999999997,0.32555400000000034,0.10413100000000242,0.0010209999999979402,star
0.34699999999999775,0.24600000000000222,0.35999999999999943,0.21699999999999875,qso
0.15500000000000114,-0.34299999999999997,-0.25500000000000256,0.07900000000000063,wd
0.04400000000000048,-0.3810000000000002,-0.19599999999999795,-0.34800000000000253,wd
0.07499999999999929,-0.10300000000000153,0.19000000000000128,-0.009000000000000341,qso
1.031362999999999,0.2610399999999977,0.07846400000000031,0.011292000000000968,star
0.13800000000000168,0.18100000000000094,0.13100000000000023,0.46199999999999974,qso
2.6611639999999994,1.1713970000000007,0.45564499999999875,0.22133800000000114,star
0.0,0.043000000000002814,0.16300000000000026,0.18499999999999872,qso
0.0799999999999983,-0.10299999999999798,0.24200000000000088,-0.11200000000000188,qso
0.2630000000000017,0.18900000000000006,-0.11400000000000077,0.030999999999998806,qso
-0.0470000000000006,0.2430000000000021,0.4079999999999995,0.008000000000000895,qso
1.0890200000000014,0.3036689999999993,0.2319659999999999,-0.013623000000002605,star
0.16499999999999915,-0.01899999999999835,0.2839999999999989,0.09199999999999875,qso
1.322735999999999,0.5106889999999993,0.11765399999999993,0.1658210000000011,star
1.9635030000000029,0.8174439999999983,0.28192900000000165,0.17973699999999937,star
0.6020000000000003,0.259999999999998,0.402000000000001,0.03300000000000125,qso
0.12200000000000344,-0.1440000000000019,-0.13200000000000145,-0.26699999999999946,wd
