,bp_rp,Gaia_G_EDR3,phase
0,2.239830999999999,24.494631208558026,0.0
1,2.2176659999999995,24.409392208558028,0.0
2,2.194527000000001,24.31505820855803,0.0
3,2.172080000000001,24.221950208558027,0.0
4,2.1500909999999998,24.129340208558027,0.0
5,2.1282010000000007,24.035894208558027,0.0
6,2.105509999999999,23.937697208558028,0.0
7,2.083755,23.84217520855803,0.0
8,2.0618979999999993,23.744892208558028,0.0
9,2.0401929999999986,23.64705520855803,0.0
10,2.0181020000000007,23.54628820855803,0.0
11,1.9970240000000015,23.44909720855803,0.0
12,1.9746400000000008,23.34597320855803,0.0
13,1.953190000000001,23.24413920855803,0.0
14,1.9330850000000002,23.142405208558028,0.0
15,1.917313,23.030379208558028,0.0
16,1.9021240000000006,22.91161020855803,0.0
17,1.8870819999999995,22.79501120855803,0.0
18,1.8722139999999996,22.680397208558027,0.0
19,1.8572039999999994,22.564767208558028,0.0
20,1.8436970000000006,22.457466208558028,0.0
21,1.8349660000000014,22.371342208558026,0.0
22,1.8284119999999984,22.292350208558027,0.0
23,1.8221549999999986,22.21697620855803,0.0
24,1.8159530000000004,22.142312208558028,0.0
25,1.8095610000000004,22.066055208558026,0.0
26,1.8036729999999999,21.99560520855803,0.0
27,1.7995169999999998,21.947713208558028,0.0
28,1.7955830000000006,21.90318520855803,0.0
29,1.7919159999999987,21.86133620855803,0.0
30,1.7884799999999998,21.821811208558028,0.0
31,1.78477,21.779156208558028,0.0
32,1.78125,21.738453208558028,0.0
33,1.7779819999999997,21.69996020855803,0.0
34,1.7747899999999994,21.66192020855803,0.0
35,1.7709869999999999,21.622594208558027,0.0
36,1.7663499999999992,21.58901320855803,0.0
37,1.7627569999999988,21.56346520855803,0.0
38,1.7598400000000005,21.54311420855803,0.0
39,1.7573530000000002,21.525741208558028,0.0
40,1.754975,21.50894920855803,0.0
41,1.7527429999999988,21.49320020855803,0.0
42,1.7506280000000007,21.478731208558028,0.0
43,1.7486449999999998,21.46508420855803,0.0
44,1.7466620000000006,21.451331208558027,0.0
45,1.7445889999999995,21.43693620855803,0.0
46,1.7425230000000003,21.42268120855803,0.0
47,1.7404890000000002,21.408797208558028,0.0
48,1.7382919999999995,21.393727208558026,0.0
49,1.7361430000000002,21.378901208558027,0.0
50,1.7340020000000003,21.36408520855803,0.0
51,1.7319980000000008,21.35044520855803,0.0
52,1.7300900000000006,21.337505208558028,0.0
53,1.7281180000000003,21.324197208558026,0.0
54,1.7262139999999988,21.31123620855803,0.0
55,1.7243779999999997,21.298752208558028,0.0
56,1.7222819999999999,21.285373208558028,0.0
57,1.7200690000000005,21.271186208558028,0.0
58,1.717727,21.25607820855803,0.0
59,1.7153840000000002,21.24089120855803,0.0
60,1.713051,21.22542220855803,0.0
61,1.7107150000000004,21.209495208558028,0.0
62,1.706168,21.18046120855803,0.0
63,1.7015659999999997,21.15114420855803,0.0
64,1.6971720000000001,21.122836208558027,0.0
65,1.6907360000000011,21.08251720855803,0.0
66,1.6831509999999987,21.03543620855803,0.0
67,1.6745400000000004,20.983948208558026,0.0
68,1.6648809999999994,20.92765820855803,0.0
69,1.6480990000000002,20.835832208558028,0.0
70,1.6313659999999999,20.754830208558026,0.0
71,1.6149200000000006,20.677049208558028,0.0
72,1.5978279999999998,20.596472208558026,0.0
73,1.581099,20.51780520855803,0.0
74,1.5643000000000011,20.439031208558028,0.0
75,1.547325999999999,20.359598208558026,0.0
76,1.5296789999999998,20.28251220855803,0.0
77,1.510680999999999,20.20621920855803,0.0
78,1.4919850000000006,20.13104420855803,0.0
79,1.4730180000000006,20.05441920855803,0.0
80,1.454464999999999,19.97829020855803,0.0
81,1.4360289999999996,19.901443208558028,0.0
82,1.417787999999999,19.824181208558027,0.0
83,1.3998529999999993,19.74742020855803,0.0
84,1.3809930000000001,19.66967820855803,0.0
85,1.3611060000000004,19.59143520855803,0.0
86,1.3413540000000008,19.51274520855803,0.0
87,1.321803,19.433932208558026,0.0
88,1.3024690000000003,19.35500720855803,0.0
89,1.2835290000000006,19.276470208558028,0.0
90,1.2649609999999996,19.19812320855803,0.0
91,1.2466499999999998,19.119754208558028,0.0
92,1.2283109999999997,19.04203720855803,0.0
93,1.208603,18.95982820855803,0.0
94,1.189037,18.878417208558027,0.0
95,1.1814689999999999,18.846947208558028,0.0
96,1.1739229999999994,18.81560820855803,0.0
97,1.1663769999999998,18.784287208558027,0.0
98,1.1586689999999997,18.75213020855803,0.0
99,1.1509649999999993,18.719835208558028,0.0
100,1.143205,18.68709020855803,0.0
101,1.1353530000000003,18.65373820855803,0.0
102,1.1274889999999997,18.620130208558027,0.0
103,1.1195570000000004,18.58597320855803,0.0
104,1.1116080000000004,18.551508208558026,0.0
105,1.103593,18.51641120855803,0.0
106,1.09558,18.48106520855803,0.0
107,1.0875259999999995,18.445152208558028,0.0
108,1.0794620000000004,18.40900620855803,0.0
109,1.0729940000000004,18.378864208558028,0.0
110,1.0667969999999993,18.349684208558028,0.0
111,1.0606860000000005,18.32065720855803,0.0
112,1.054665,18.291808208558027,0.0
113,1.048724,18.26305120855803,0.0
114,1.0428769999999998,18.234461208558027,0.0
115,1.0371139999999999,18.20589120855803,0.0
116,1.0314509999999997,18.177477208558027,0.0
117,1.0258779999999996,18.149015208558026,0.0
118,1.020403,18.120676208558027,0.0
119,1.015015,18.092309208558028,0.0
120,1.0097300000000002,18.063975208558027,0.0
121,1.0045480000000007,18.035722208558028,0.0
122,0.999466,18.007517208558028,0.0
123,0.9944819999999996,17.97943520855803,0.0
