5921543639477589120 264.16385               -53.98070           19.941   
5921539825546549120 264.25211               -54.06070           19.086   
5921542265088057472 264.20510               -53.94871           18.252   
5921539585011442304 264.33958               -54.03101           19.001   
5921530887707179136 264.28545               -54.20321           17.558   
5921543192800960640 264.19193               -54.01173           19.580   
5921541470501843328 264.37956               -53.96395           17.968   
5921539512001984896 264.31139               -54.04446           18.968   
5921541852754392576 264.34843               -53.93660           19.378   
5921539924318841472 264.26901               -54.05266           19.180   
5921539138334778752 264.32487               -54.07470           19.915   
5921537038100665728 264.12937               -54.06901           18.625   
5921544464095287296 263.97273               -53.95173           19.710   
5921539065325225472 264.33843               -54.07650           18.206   
5921532987941511808 264.32260               -54.13229           19.632   
5921541676660290944 264.34970               -53.94930           16.997   
5921530857637635712 264.29686               -54.22242           19.582   
5921538721727965824 264.35333               -54.11167           19.078   
5921532128947919104 264.36304               -54.21658           19.628   
5921533159757247616 264.26059               -54.17499           17.763   
5921543948715272704 264.11094               -53.94667           19.510   
5921530548399926144 264.37938               -54.24581           19.640   
5921309202968538112 265.33009               -54.23252           19.914   
5921300200728931456 265.88421               -54.23932           19.040   
5921306282390059904 265.50498               -54.34798           19.301   
5921311741297260800 265.65700               -54.19648           18.053   
5921310852235186560 265.70467               -54.23800           19.773   
5921309817152631424 265.36824               -54.17499           17.728   
5921311947456412544 265.58929               -54.18632           17.536   
5921306965291992704 265.33170               -54.34137           18.684   
5921310332546413824 265.70440               -54.28052           18.706   
5921303013921337856 265.62298               -54.38631           19.000   
5921307789925746304 265.49645               -54.31279           18.182   
5921311402003724800 265.57720               -54.23918           16.863   
5921311745601108736 265.65324               -54.18759           17.291   
5921283119635847168 265.42077               -54.40162           19.852   
5921309340407546112 265.34206               -54.20855           19.507   
5921305217238077568 265.63912               -54.28760           18.022   
5921312089198521344 265.58601               -54.15775           19.000   
5921306999650258688 265.32644               -54.32515           17.599   
5921307553705108864 265.33508               -54.28309           19.900   
5921306282402689408 265.50362               -54.33554           19.585   
5921299341722224640 265.94868               -54.27730           19.738   
5921301025354688896 265.84200               -54.16654           19.324   
5921366167122961920 265.23488               -53.96077           18.409   
5921369847920813696 265.11220               -53.88895           16.819   
5921364964531898752 265.30873               -54.03384           17.693   
5921370947420610048 265.01868               -53.84993           19.851   
5921368881537500800 265.01051               -53.92252           17.575   
5921348643651488000 264.70153               -54.13297           19.215   
5921364659600246528 265.15744               -53.99528           16.733   
5921356688127197184 265.31591               -54.17367           19.731   
5921318510165647360 265.37100               -54.00773           17.557   
5921367197914903424 265.07954               -54.02368           16.024   
5921316586020578304 265.52563               -54.12975           19.245   
5921368679677794304 264.92469               -53.93488           19.464   
5921366819953200384 265.16729               -53.91990           17.161   
5921371114930302848 265.00378               -53.80871           18.579   
5921363727581328512 265.24548               -54.02204           18.011   
5921369298152478336 265.12052               -53.95053           19.206   
5921315971841042688 265.44648               -54.14073           19.221   
5921370328945312896 265.04467               -53.83408           19.677   
5921370947420603776 265.02289               -53.84867           16.966   
5921366510715553920 265.13654               -53.92171           17.580   
5921370638183067264 264.98339               -53.84606           19.679   
5921372837206218240 264.72448               -54.04646           19.023   
5921371222310436480 264.96765               -53.83420           16.638   
5921376440678828544 264.65856               -53.99575           12.537   
5921374005437237632 264.82457               -54.00251           19.149   
5921367300989658752 265.07471               -53.99816           18.979   
5921373726260822272 264.87316               -54.02683           18.751   
5921362250108317184 264.95717               -54.00915           19.219   
5921366888672687744 265.13982               -53.90700           17.393   
5921318338366959232 265.45665               -54.00101           17.758   
5921368267360688000 264.95965               -53.97313           19.668   
5921366751233733120 265.21459               -53.90822           16.636   
5921366033976987648 265.21671               -53.97559           16.360   
5921375994002554752 264.60504               -54.00822           18.158   
5921369500012804224 265.08678               -53.90682           16.668   
5921370844353311872 264.96458               -53.83979           17.138   
5921318480109924736 265.40015               -54.01184           18.094   
5921364586575434624 265.19713               -53.99945           18.523   
5921361184965365632 265.10074               -54.06002           18.828   
5921362185699127168 264.98124               -54.02984           14.815   
5921365930897776256 265.26805               -53.94023           19.464   
5921361494193963776 265.05039               -54.02462           18.922   
5921368267360648576 264.96076               -53.98153           19.697   
5921371394097524224 264.97383               -53.79767           18.600   
5921365960959747456 265.25655               -53.91209           17.363   
5921348682309803648 264.68483               -54.15867           19.998   
5921369328214465024 265.13204               -53.93304           18.472   
5921318544525392896 265.37962               -53.99678           18.175   
5921366510722535296 265.14117               -53.91450           17.952   
5921375448546797440 264.73679               -53.91443           18.503   
5921366446294084864 265.18574               -53.93188           19.842   
5921370324651948160 265.05495               -53.84222           19.001   
5921367713306729216 265.09508               -53.98255           19.298   
5921359741850253312 264.87390               -54.13850           19.322   
5921364449135842816 265.19579               -54.01261           16.477   
5921364797026527104 265.16148               -53.98040           19.617   
5921316074916477952 265.40358               -54.10589           19.993   
5921368885838386432 265.01039               -53.91843           19.974   
5921375482906501376 264.75921               -53.90996           19.756   
5921365205050087296 265.29369               -54.01128           17.184   
5921370260237716864 265.06308               -53.84252           19.182   
5921374452113932160 264.85607               -53.95572           19.941   
5921373932419262464 264.85698               -53.99167           18.568   
5921365686086625536 265.32826               -53.94929           18.754   
5921366583745601664 265.23666               -53.92883           17.152   
5921370603835130752 264.97318               -53.85268           15.924   
5921369293854721920 265.11468               -53.93908           19.125   
5921373898059424256 264.84971               -54.00344           18.671   
5921375719124687872 264.68879               -53.89504           18.949   
5921367477086380416 265.03568               -53.99918           19.492   
5921368714049493504 264.92422               -53.92942           17.517   
5921364590868018304 265.18785               -53.98310           19.964   
5921370736968804608 264.91350               -53.86195           17.502   
5921368950256988544 264.97191               -53.90889           17.631   
5921362524986026368 264.91095               -53.99450           18.420   
5921370736968804992 264.92580               -53.86468           16.796   
5921366996050044672 265.19321               -53.89331           19.459   
5921367335349395840 265.09345               -54.00418           17.953   
5921370363305053312 265.05340               -53.82782           19.657   
5921318338366958464 265.44339               -54.00290           16.932   
5921360502058797440 265.10393               -54.13901           19.946   
5921371321084357760 264.94007               -53.80953           16.857   
5921370736968805376 264.93073               -53.86310           18.046   
5921371050511743744 264.98914               -53.82093           15.301   
5921368125623619072 265.03908               -53.93725           18.301   
5921370260225758464 265.05845               -53.84593           19.416   
5921371149285666560 264.98213               -53.81366           17.297   
5921371046206451584 264.98903               -53.82824           17.196   
5921315555227955072 265.44416               -54.16625           16.787   
5921370157148713344 265.07591               -53.86093           19.650   
5921365754805928064 265.28213               -53.95136           17.873   
5921366961690307968 265.18024               -53.90175           19.380   
5921371359737811584 264.95559               -53.80284           19.287   
5921371222310436736 264.96980               -53.83253           15.512   
5921369366872155136 265.08569               -53.92711           18.538   
5921366858611093376 265.16963               -53.90876           19.010   
5921371256658596992 264.95178               -53.80524           18.444   
5921375581685732864 264.75112               -53.89923           18.212   
5921360841363619072 265.00909               -54.10453           18.930   
5921371256658597888 264.94886               -53.80681           19.015   
5921364277337142912 265.12541               -54.02201           16.755   
5921368748396971648 265.00856               -53.95307           19.292   
5921370397664707200 264.99433               -53.88991           17.287   
5921360673857639296 265.09064               -54.10431           19.362   
5921375001869969920 264.74983               -53.96846           19.273   
5921369263798470656 264.91632               -53.86732           19.688   
5921371394097545600 264.97212               -53.79293           18.296   
5921366721171982080 265.23074               -53.90450           18.881   
5921371325378160384 264.92305               -53.80034           19.116   
5921368782756846336 264.99282               -53.92935           19.877   
5921368022544177664 265.03827               -53.95401           18.140   
5921368400501300096 264.97404               -53.95282           18.841   
5921370054069494272 265.08657               -53.85888           19.952   
5921367816385747200 265.10666               -53.95420           17.829   
5921375547326149504 264.74508               -53.90483           18.832   
5921369057634913792 264.95450               -53.91596           19.135   
5921368301720433024 264.96356               -53.96895           19.229   
5921375822203904512 264.69173               -53.89036           17.970   
5921367477098847360 265.01005               -53.99242           17.843   
5921363182118306816 265.23953               -54.06932           19.858   
5921366686812175872 265.23161               -53.92169           18.854   
5921369229433795712 264.91811               -53.88933           18.721   
5921370878701437440 264.92523               -53.83319           18.667   
5921371394097548032 264.96960               -53.79388           18.612   
5921370741274105984 264.91769               -53.86063           17.750   
5921364762666717696 265.16725               -53.99521           18.915   
5921368817116578176 264.98082               -53.93902           19.281   
5921366686812174336 265.22935               -53.92373           18.511   
5921369538670957312 265.08903               -53.89858           18.929   
5921366308855052800 265.17213               -53.96191           19.404   
5921369328214470400 265.10502               -53.92322           18.584   
5921363525728809216 265.26725               -54.05836           16.395   
5921371153579272448 264.99141               -53.80755           19.531   
5921370943131612160 265.01284               -53.84386           17.317   
5921364792728764800 265.16194               -53.97636           18.452   
5921366923032675840 265.14450               -53.88941           18.941   
5921318136501187456 265.36672               -54.01898           17.609   
5921374550894466304 264.81357               -53.95791           18.137   
5921348403132036864 264.74329               -54.19207           17.271   
5921318102141449344 265.35875               -54.02429           19.673   
5921357714627417472 265.13121               -54.11784           18.658   
5921370260227936768 265.06569               -53.84529           19.699   
5921362220046568576 264.94665               -54.02101           18.825   
5921370122786638464 265.07441               -53.87571           18.299   
5921370157148722432 265.05753               -53.84961           19.934   
5921369676110040320 265.04069               -53.89824           19.632   
5921369538670962944 265.08930               -53.89707           18.228   
5921372008272601600 264.78004               -54.06067           17.283   
5921369431293563904 265.10560               -53.92050           18.831   
5921369706171382144 265.07615               -53.90067           18.538   
5921370844353316096 264.96216               -53.83672           16.870   
5921366240135572608 265.19650               -53.94668           19.721   
5921365037557299840 265.32798               -54.01455           17.467   
5921370260227939200 265.06083               -53.84619           19.903   
5921365621663107456 265.35848               -53.95702           19.708   
5921318651908619392 265.36224               -53.97435           16.425   
5921374967521924480 264.76854               -53.96026           18.881   
5921369637451996416 265.03835               -53.91571           18.619   
5921368022544184832 265.01945               -53.93703           18.321   
5921315422081060480 265.44752               -54.19120           17.732   
5921361562923046272 265.03087               -54.02430           19.005   
5921359226455891968 264.99983               -54.13366           18.943   
5921370049778424960 265.09543               -53.85419           18.151   
5921369568732519936 265.06027               -53.91468           18.983   
5921369362574082176 265.08743               -53.93332           19.054   
5921366755531817216 265.20170               -53.90224           19.825   
5921368778458431360 265.00883               -53.93084           18.090   
5921340401624224384 264.69760               -54.28436           15.449   
5921369744829529600 265.05589               -53.88482           19.591   
5921364797026465280 265.18178               -53.98275           19.486   
5921361597277475968 264.98085               -54.09311           17.699   
5921369401231879808 265.09425               -53.92444           19.416   
5921366171428730112 265.22729               -53.95723           16.617   
5921369847908537472 265.11315               -53.89676           19.167   
5921329921890408192 265.26619               -54.38868           19.878   
5921375860875204864 264.70397               -53.87487           19.615   
5921351637248199168 264.43917               -54.08205           19.840   
5921367614525545344 265.01530               -53.96185           19.190   
5921371359737818752 264.96009               -53.79770           17.640   
5921363113398732416 265.25944               -54.08445           19.499   
5921362632363657088 264.91847               -53.98447           18.304   
5921365651727335680 265.32098               -53.96107           19.121   
5921375826515465984 264.68647               -53.88799           16.889   
5921374417754114560 264.88917               -53.95500           19.664   
5921370122786646656 265.07076               -53.87631           19.308   
5921369263805358208 264.91140               -53.86199           15.897   
5921368817116589824 264.98432               -53.93388           17.168   
5921366716873994880 265.22389               -53.90740           17.778   
5921366751233978496 265.20671               -53.90362           18.133   
5921367030409887360 265.16146               -53.89012           18.255   
5921375959649970432 264.61488               -54.03395           19.586   
5921365892250087424 265.29167               -53.92978           18.770   
5921363074746223360 265.24394               -54.09360           17.035   
5921347170481222400 264.67375               -54.18658           18.274   
5921317754256298624 265.45887               -54.06618           18.253   
5921368159983144960 265.02511               -53.92213           18.371   
5921366819953348864 265.18387               -53.92147           18.129   
5921317170135785984 265.54556               -54.07432           17.260   
5921366682514395520 265.23987               -53.92060           18.440   
5921371291018354560 264.93016               -53.81413           18.470   
5921355760427909504 265.17823               -54.19574           17.643   
5921317170141264256 265.53451               -54.06632           19.396   
5921365656019658880 265.32363               -53.96091           19.864   
5921370878701465856 264.91933               -53.82992           19.454   
5921371256658608640 264.94834               -53.80410           18.999   
5921369396933728512 265.08622               -53.91788           18.542   
5921369087696183296 264.93095               -53.91471           19.506   
5921371256658609664 264.94715               -53.80459           19.335   
5921369057637098624 264.95550               -53.90852           19.945   
5921373936717780480 264.84217               -53.98580           19.458   
5921370569463417600 265.02226               -53.86609           18.639   
5921364900105141504 265.33042               -54.03309           19.779   
5921367026121449728 265.14803               -53.88253           19.379   
5921366441996223616 265.17447               -53.92868           18.436   
5921370363305073920 265.04282               -53.82903           18.682   
5921374383406314240 264.89160               -53.96994           14.363   
5921367610234100864 265.02924               -53.96716           17.159   
5921368404799646848 264.97666               -53.96045           19.142   
5921352423221740160 264.62724               -54.04615           17.461   
5921365686086803584 265.31402               -53.94399           18.490   
5921348854108614912 264.69045               -54.12466           18.575   
5921369603092262272 265.06732               -53.90463           18.997   
5921369362573984768 265.07796               -53.92897           18.295   
5921370466384213120 264.98087               -53.89113           18.734   
5921360738284023040 265.08042               -54.08846           17.231   
5921355653040680832 265.17877               -54.21682           18.434   
5921348751029403008 264.64688               -54.15218           18.739   
5921371187939072896 264.98285               -53.79725           19.520   
5921363109106364928 265.27234               -54.08684           19.543   
5921369396933724160 265.10111               -53.92622           18.646   
5921343562708682240 264.57738               -54.25272           19.791   
5921365960959889280 265.26917               -53.92247           18.284   
5921369981049394048 265.12990               -53.87953           19.009   
5921365862178232320 265.29169               -53.94279           19.324   
5921362666723427584 264.92067               -53.97480           19.914   
5921352835539027840 264.53090               -54.07808           18.804   
5921370844341644928 264.94890               -53.83152           19.142   
5921366819953346688 265.18885               -53.92577           18.690   
5921374005449195136 264.82087               -54.01154           16.494   
5921369435591580928 265.11545               -53.91900           19.489   
5921365892240411264 265.27875               -53.92536           18.154   
5921366927330679040 265.15164               -53.89510           19.453   
5921362254406260096 264.96660               -54.01919           18.756   
5921369744829490176 265.06997               -53.88653           18.952   
5921362288765998848 264.98205               -54.00874           19.987   
5921366923032573440 265.15740               -53.90168           18.766   
5921370466384208000 264.99044               -53.88625           18.751   
5921370500744023040 264.97742               -53.87349           18.440   
5921370878701393280 264.93565               -53.83695           19.293   
5921366996050150656 265.17680               -53.87979           17.262   
5921369946689657984 265.09738               -53.87471           18.623   
5921362323125751040 264.98865               -54.00065           19.109   
5921364453428956928 265.18687               -54.01382           19.523   
5921339783148681728 264.72146               -54.34238           19.959   
5921370569463509888 265.00378               -53.85414           19.840   
5921370191508465920 265.02683               -53.85915           19.748   
5921359711791526400 264.92669               -54.15797           19.635   
5921317930342603008 265.38377               -54.05084           19.790   
5921317273215399552 265.54599               -54.06010           18.687   
5921366957392414464 265.17289               -53.89295           17.954   
5921369843610335744 265.12629               -53.90065           17.906   
5921369706171483136 265.05334               -53.89061           18.340   
5921318514469664896 265.36651               -54.00830           17.490   
5921370981780371968 265.02021               -53.84260           18.994   
5921366716874138624 265.23829               -53.91212           18.325   
5921371291018357888 264.93146               -53.81214           19.482   
5921357714632564352 265.12365               -54.11409           18.939   
5921370088426923392 265.10274               -53.85127           19.379   
5921371222298804096 264.94575               -53.82373           18.905   
5921369465653208320 265.12232               -53.90999           18.288   
5921313669734216832 265.62778               -54.12590           18.183   
5921370913061236480 264.91684               -53.82186           19.145   
5921361803431319168 264.94842               -54.05134           17.791   
5921315349069845632 265.46343               -54.11861           18.492   
5921366892970850560 265.15509               -53.91431           18.645   
5921359986663112832 264.96389               -54.12388           19.714   
5921368336080094592 264.99489               -53.96666           19.835   
5921368847177911168 264.98153               -53.92473           19.246   
5921373421321939456 264.70267               -54.01514           19.627   
5921367644586871040 265.10977               -53.98810           16.821   
5921368920195904256 264.99666               -53.90227           19.232   
5921318651897337216 265.38366               -53.98444           19.836   
5921357512761415936 265.14153               -54.15106           19.551   
5921370706902611328 264.94066               -53.85607           19.026   
5921362048260187648 264.94280               -54.03022           18.251   
5921317926050435072 265.39990               -54.05063           18.933   
5921348132553692800 264.78963               -54.15959           19.657   
5921371080560828032 265.01757               -53.82976           17.859   
5921370088426996736 265.08595               -53.84552           19.261   
5921370947420672256 265.00146               -53.84571           19.475   
5921372150023276800 264.84996               -54.07346           14.796   
5921363177825680256 265.25299               -54.07860           18.507   
5921359741854238336 264.87298               -54.13750           19.636   
5921361154894112256 265.08459               -54.07076           19.564   
5921369710469717632 265.06893               -53.89548           19.364   
5921369538671009280 265.08276               -53.89059           19.282   
5921371084859627520 265.02164               -53.83192           18.916   
5921371011841349888 264.97404               -53.83547           16.329   
5921369676110032256 265.03729               -53.90269           19.219   
5921366652452493056 265.20590               -53.92443           18.315   
5921366892970846208 265.15414               -53.91591           19.250   
5921371119219466624 265.01452               -53.80807           19.606   
5921361288039889792 265.06636               -54.04102           16.566   
5921370328945383936 265.03141               -53.82528           19.452   
5921362460564917376 264.92175               -53.99473           19.518   
5921358474834087296 265.07356               -54.19725           19.512   
